fecha_hora_registro,lugar_nombre,latitude,longitude,valor_ica,observaciones,fuente
2026-06-21T08:00:52.368000+00:00,LA PAZ,-16.5424872,-68.0716009,90.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T07:00:46.382000+00:00,LA PAZ,-16.5424872,-68.0716009,86.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T06:00:40.527000+00:00,LA PAZ,-16.5424872,-68.0716009,106.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T05:30:44.768000+00:00,LA PAZ,-16.5424872,-68.0716009,164.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T04:00:35.367000+00:00,LA PAZ,-16.5424872,-68.0716009,200.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T03:30:32.458000+00:00,LA PAZ,-16.5424872,-68.0716009,190.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T02:00:16.422000+00:00,LA PAZ,-16.5424872,-68.0716009,182.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T01:00:17.421000+00:00,LA PAZ,-16.5424872,-68.0716009,138.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T00:00:04.509000+00:00,LA PAZ,-16.5424872,-68.0716009,132.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-21T00:00:04.502000+00:00,LA PAZ,-16.5424872,-68.0716009,100.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-20T21:59:54.635000+00:00,LA PAZ,-16.5424872,-68.0716009,76.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-20T21:29:44.723000+00:00,LA PAZ,-16.5424872,-68.0716009,70.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-20T19:59:33.126000+00:00,LA PAZ,-16.5424872,-68.0716009,68.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-20T18:59:26.632000+00:00,LA PAZ,-16.5424872,-68.0716009,36.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-20T17:59:27.598000+00:00,LA PAZ,-16.5424872,-68.0716009,88.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-20T17:29:17.671000+00:00,LA PAZ,-16.5424872,-68.0716009,70.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-20T15:59:15.641000+00:00,LA PAZ,-16.5424872,-68.0716009,68.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-20T15:29:12.752000+00:00,LA PAZ,-16.5424872,-68.0716009,42.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-20T13:59:05.793000+00:00,LA PAZ,-16.5424872,-68.0716009,30.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-20T12:58:52.808000+00:00,LA PAZ,-16.5424872,-68.0716009,104.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-20T11:58:53.971000+00:00,LA PAZ,-16.5424872,-68.0716009,74.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-20T11:28:51.072000+00:00,LA PAZ,-16.5424872,-68.0716009,80.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
2026-06-20T09:58:34.229000+00:00,LA PAZ,-16.5424872,-68.0716009,58.0,OK,Sistema de Calidad de Aire de la Ciudad de La Paz
